,title,text,label
28436,北アルプス「北アルプスの名峰」,,FAKE
24386,みんなのうた「わたしの紙風船」「天下無敵のゴーヤーマン★」,「わたしの紙風船」うた：紙ふうせん／「天下無敵のゴーヤーマン★」うた：ガレッジセール,FAKE
24386,みんなのうた「わたしの紙風船」「天下無敵のゴーヤーマン★」,「わたしの紙風船」うた：紙ふうせん／「天下無敵のゴーヤーマン★」うた：ガレッジセール,REAL
24386,みんなのうた「わたしの紙風船」「天下無敵のゴーヤーマン★」,「わたしの紙風船」うた：紙ふうせん／「天下無敵のゴーヤーマン★」うた：ガレッジセール,FAKE
24387,キャラとおたまじゃくし島（３４）「音楽堂のガッキアニマル　の巻」,まっすぐで愛にあふれた少女戦士キャラが、体の一部が楽器の不思議なガッキアニマルたちと出会い心を通わせる中で、音楽を奪われた島の謎を次々と解き明かす冒険ファンタジー第３４話。森の奥深く、ヒュンとキャラの前に突然、教会のような神秘的な建物が現れる。中に入るとそこには神々しい一人の女性が。そして彼女は島の物語を語りはじめた。,REAL
24388,Ｄｏｋｉ　Ｄｏｋｉ！　ＮＨＫワールド　ＪＡＰＡＮ「近代遺産を巡る北九州の旅」,外国人レポーターが鉄道に乗って全国を駆け巡る「Ｔｒａｉｎ　Ｃｒｕｉｓｅ」から、福岡県北九州を取り上げた回を紹介する。八幡製鉄所や筑豊炭田など、日本の近代産業を支えてきた北九州市。カナダ出身の旅人・ニックさんが、炭鉱輸送に欠かせなかったＳＬや地元のローカル線に乗りながら、近代遺産が豊富な北九州を旅する。彼の旅の中での出会いを中心に、北九州の旅の楽しさを紹介した番組の見どころと魅力を伝える。,FAKE
32914,ダーウィンが来た！１０ｍｉｎ．「目からビーム！トカゲの仰天護身術」,目から「真っ赤なビーム」を飛ばす驚きのトカゲがいる！北米・ソノラ砂漠に暮らす体長１０センチほどのツノトカゲだ。コヨーテなどの天敵に襲われると、相手の顔をめがけて発射し、撃退する。赤いビームの正体はツノトカゲの血液。敵が嫌がる成分が含まれているのだ。砂漠には、ほかにもガラガラヘビなど、小さなトカゲを狙う恐ろしい天敵がたくさん。ツノトカゲは仰天の護身術を連発して対抗する。衝撃映像のオンパレードで送る！,FAKE
24390,ＮＨＫニュース　おはよう日本,目覚めてまず知りたい！朝いちばんの最新情報が満載！けさの関心事や新着のニュースをわかりやすくお伝えします！今日１日の天気は？各地の天気を３時間ごとにお見せするきめ細かい気象情報・夜明け時の各地の様子・おさえておきたいニュースをコンパクトに・スポーツ・世界各地の驚きのニュース・くらしのヒントが満載！まちかど情報室,REAL
22454,ＮＨＫニュース　おはよう日本,朝一番でチェックしたい最新情報が満載！けさの関心事や新着ニュースをわかりやすく、独自の分析を加えお伝えします！気になる朝と夕方の天気は？１日の天気を３時間ごとにお見せするきめ細かい気象情報。仕事の前にチェックしたいニュースをいっき読み！全国各地で話題のニュース。注目のスポーツを多角的にたっぷりと。くらしのヒントが満載・まちかど情報室！知りたい情報が一目でわかります！,
22454,ＮＨＫニュース　おはよう日本,朝一番でチェックしたい最新情報が満載！けさの関心事や新着ニュースをわかりやすく、独自の分析を加えお伝えします！気になる朝と夕方の天気は？１日の天気を３時間ごとにお見せするきめ細かい気象情報。仕事の前にチェックしたいニュースをいっき読み！全国各地で話題のニュース。注目のスポーツを多角的にたっぷりと。くらしのヒントが満載・まちかど情報室！知りたい情報が一目でわかります！,
22454,ＮＨＫニュース　おはよう日本,朝一番でチェックしたい最新情報が満載！けさの関心事や新着ニュースをわかりやすく、独自の分析を加えお伝えします！気になる朝と夕方の天気は？１日の天気を３時間ごとにお見せするきめ細かい気象情報。仕事の前にチェックしたいニュースをいっき読み！全国各地で話題のニュース。注目のスポーツを多角的にたっぷりと。くらしのヒントが満載・まちかど情報室！知りたい情報が一目でわかります！,
22455,ＮＨＫニュース　おはよう日本（関東甲信越）,関東甲信越のニュースと交通・気象情報,
22455,ＮＨＫニュース　おはよう日本（関東甲信越）,関東甲信越のニュースと交通・気象情報,
22455,ＮＨＫニュース　おはよう日本（関東甲信越）,関東甲信越のニュースと交通・気象情報,
22457,【連続テレビ小説】おかえりモネ（８０）「若き者たち」,未知（蒔田彩珠）や亮（永瀬廉）たちは気仙沼へ帰っていった。同じころ、サヤカ（夏木マリ）や龍己（藤竜也）は、自分たちより下の世代のためにも、まずは自分たちが楽しく、格好よく生きなければ、と電話で語り合っていた。そして前日、百音（清原果耶）と結局会えずじまいだった菅波（坂口健太郎）が改めて汐見湯にやってくる。百音は菅波から、地域医療に専念するためにした意外な決断を聞かされ、激しく動揺して…。,
23393,東京２０２０パラリンピック　あさナビ,３日の見どころは多様性の象徴とも言えるユニバーサルリレー！性別も障がい種別も異なる４人が“バトン”ならぬ“タッチ”をつなぐ。選抜選手は各国のスーパースターばかり！その魅力を元「体操のお兄さん」小林よしひさが熱くプレゼンする！もう一つの注目競技がパラアーチェリー！ある者は足で矢をつかみ弓につがえ、ある者は口で、ある者は肩で弓を引き、的を射る。身体能力を限界まで駆使したこの競技を武井壮が推しプレする！,
23393,東京２０２０パラリンピック　あさナビ,３日の見どころは多様性の象徴とも言えるユニバーサルリレー！性別も障がい種別も異なる４人が“バトン”ならぬ“タッチ”をつなぐ。選抜選手は各国のスーパースターばかり！その魅力を元「体操のお兄さん」小林よしひさが熱くプレゼンする！もう一つの注目競技がパラアーチェリー！ある者は足で矢をつかみ弓につがえ、ある者は口で、ある者は肩で弓を引き、的を射る。身体能力を限界まで駆使したこの競技を武井壮が推しプレする！,
22459,ニュース・気象情報,,
22459,ニュース・気象情報,,
22460,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）［９：５９－１０：０５　総合２で放送継続］,
22460,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）［９：５９－１０：０５　総合２で放送継続］,
23488,サブチャンネル切り替え方法のご案内,,
23494,ニュース・気象情報,,
23494,ニュース・気象情報,,
23495,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）［１１：５３－後０：２０　総合２で放送継続］,
23495,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）［１１：５３－後０：２０　総合２で放送継続］,
22461,サブチャンネル切り替え方法のご案内,,
22462,気象情報,,
22464,ニュース,,
22465,ニュース（関東）,,
22466,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）,
22466,東京２０２０パラリンピック◇陸上　男子１５００ｍ　Ｔ２０・決勝ほか（中継）,男子１００ｍ　Ｔ５２・決勝ほか（中継）,
