label,title,text,titletext
0,ボキャブライダー（９０７）,【出演】桜田ひより，マックスウェル・パワーズ,ボキャブライダー（９０７）. 【出演】桜田ひより，マックスウェル・パワーズ
0,グレートトラバース３　１５ｍｉｎ．「１１座目　傾山　１２座目　祖母山」,プロアドベンチャーレーサーの田中陽希が、鹿児島県宮之浦岳から北海道利尻岳まで、日本三百名山、全山人力踏破に挑んだ「グレートトラバース３」。その旅の模様を毎日１５分で紹介するシリーズ。今回の舞台は、総距離４０ｋｍ、九州最長となる縦走ルートの後半戦、宮崎と大分にまたがる傾山と祖母山だ。岩の急登に降り積もった雪。田中は次第に体力を奪われていく。過酷な縦走路を無事歩ききることができるのか。,グレートトラバース３ １５ｍｉｎ．「１１座目 傾山 １２座目 祖母山」. プロアドベンチャーレーサーの田中陽希が、鹿児島県宮之浦岳から北海道利尻岳まで、日本三百名山、全山人力踏破に挑んだ「グレートトラバース３」。その旅の模様を毎日１５分で紹介するシリーズ。今回の舞台は、総距離４０ｋｍ、九州最長となる縦走ルートの後半戦、宮崎と大分にまたがる傾山と祖母山だ。岩の急登に降り積もった雪。田中は次第に体力を奪われていく。過酷な縦走路を無事歩ききることができるのか。
0,みんなのうた「トタン屋根のワルツ」「タチツテト手を」,「トタン屋根のワルツ」うた：工藤順子／「タチツテト手を」うた：ヘンリー・バンド ｗｉｔｈ Ｍ,みんなのうた「トタン屋根のワルツ」「タチツテト手を」. 「トタン屋根のワルツ」うた：工藤順子／「タチツテト手を」うた：ヘンリー・バンド ｗｉｔｈ Ｍ
0,ミニアニメ　うっかりペネロペ「ペネロペ、おでかけをする」,今日はお休みの日です。ペネロペは、パパとママと一緒にお出かけです。おもちゃ屋さんや、レストランに行きますが、途中でドゥドゥをどこかに忘れてきてしまいました。,ミニアニメ うっかりペネロペ「ペネロペ、おでかけをする」. 今日はお休みの日です。ペネロペは、パパとママと一緒にお出かけです。おもちゃ屋さんや、レストランに行きますが、途中でドゥドゥをどこかに忘れてきてしまいました。
0,ボキャブライダー（９１２）,【出演】桜田ひより，マックスウェル・パワーズ,ボキャブライダー（９１２）. 【出演】桜田ひより，マックスウェル・パワーズ
0,びじゅチューン！「落穂拾子」,発想の源は、ジャン＝フランソワ・ミレー「落穂拾い」（オルセー美術館）。濃い陰影と雄大な風景がドラマ性を感じさせる絵画。この人物たちはどんな生涯を送ったのか、想像させられる。中央の人物は「ひろこ」。落穂を拾うエキスパートで落穂拾いにプライドを持っている。左の「ひろみ」はいつまでも落穂を拾っているつもりはなく、右の「ひろえ」はラッパー志望。彼女たちの人生を駆け足でめぐる。,びじゅチューン！「落穂拾子」. 発想の源は、ジャン＝フランソワ・ミレー「落穂拾い」（オルセー美術館）。濃い陰影と雄大な風景がドラマ性を感じさせる絵画。この人物たちはどんな生涯を送ったのか、想像させられる。中央の人物は「ひろこ」。落穂を拾うエキスパートで落穂拾いにプライドを持っている。左の「ひろみ」はいつまでも落穂を拾っているつもりはなく、右の「ひろえ」はラッパー志望。彼女たちの人生を駆け足でめぐる。
0,グレーテルのかまど「石ノ森章太郎のコッペパン」,誕生５０周年を迎えた、仮面ライダーシリーズをはじめ、数々の名作漫画を生み出した石ノ森章太郎。名だたる漫画家たちが集ったアパート・トキワ荘で、仲間と分け合って食べたのがコッペパンでした。はさむ具材次第で食事としても、スイーツとしても楽しめる万能選手！音楽や読書を愛し、歴史、ファンタジー、ギャグとどんな分野も描いた漫画家石ノ森章太郎の偉業に思いをはせて、ヘンゼルもコッペパン作りに挑戦！,グレーテルのかまど「石ノ森章太郎のコッペパン」. 誕生５０周年を迎えた、仮面ライダーシリーズをはじめ、数々の名作漫画を生み出した石ノ森章太郎。名だたる漫画家たちが集ったアパート・トキワ荘で、仲間と分け合って食べたのがコッペパンでした。はさむ具材次第で食事としても、スイーツとしても楽しめる万能選手！音楽や読書を愛し、歴史、ファンタジー、ギャグとどんな分野も描いた漫画家石ノ森章太郎の偉業に思いをはせて、ヘンゼルもコッペパン作りに挑戦！
0,みんなのうた「素敵な夜」「スナビキソウ」,「素敵な夜」うた：Ｖ６／「スナビキソウ」うた：遥海,みんなのうた「素敵な夜」「スナビキソウ」. 「素敵な夜」うた：Ｖ６／「スナビキソウ」うた：遥海
0,ＮＨＫ高校講座　家庭総合「自分で選び創る！これからの人生」,これからの自分の人生をどう主体的につくっていけばよいか、これまで学んだことを振り返りながら、将来なりたい自分のことについて話していきます。ポイントは「キャリアの設計と意思決定」「人生のリスクとチャレンジ」「自立・共生・創造」です。苦難を乗り越えてきたシンガーソングライターのインタビューや、路上生活者の支援ボランティアをする高校生たちの取り組みから、自分のこれからのキャリアを考えるヒントを探ります。,ＮＨＫ高校講座 家庭総合「自分で選び創る！これからの人生」. これからの自分の人生をどう主体的につくっていけばよいか、これまで学んだことを振り返りながら、将来なりたい自分のことについて話していきます。ポイントは「キャリアの設計と意思決定」「人生のリスクとチャレンジ」「自立・共生・創造」です。苦難を乗り越えてきたシンガーソングライターのインタビューや、路上生活者の支援ボランティアをする高校生たちの取り組みから、自分のこれからのキャリアを考えるヒントを探ります。
0,放送休止,,放送休止.
